,Department,CourseNumber,CourseName,StudentCount,AvgGPA
0,AAS,100,Intro Asian American Studies,254,3.67
1,AAS,246,Asian American Youth in Film,69,3.79
2,AAS,287,Food and Asian Americans,68,3.79
3,AAS,370,"Immigration, Law, and Rights",29,3.03
4,ABE,100,Intro Agric & Biological Engrg,44,3.75
5,ABE,199,Water in the Global Environ,27,3.96
6,ABE,223,ABE Principles: Machine Syst,43,3.4
7,ABE,224,ABE Principles: Soil & Water,48,3.59
8,ABE,430,Project Management,100,3.83
9,ABE,436,Renewable Energy Systems,51,3.34
10,ABE,488,Bioprocessing Biomass for Fuel,25,3.79
11,ABE,498,Eng Design for Solar SmartHome,41,3.91
12,ACCY,200,Fundamentals of Accounting,275,3.16
13,ACCY,201,Accounting and Accountancy I,604,2.82
14,ACCY,202,Accounting and Accountancy II,250,3.2
15,ACCY,301,Atg Measurement & Disclosure,237,3.31
16,ACCY,302,Decision Making for Atg,246,3.36
17,ACCY,303,Atg Institutions and Reg,208,3.28
18,ACCY,304,Accounting Control Systems,196,3.35
19,ACCY,312,Principles of Taxation,201,3.33
20,ACCY,410,Advanced Financial Reporting,160,3.37
21,ACCY,415,Auditing Stds and Practice,118,3.24
22,ACCY,451,Advanced Income Tax Problems,148,3.43
23,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",852,3.64
24,ACCY,501,Accounting Analysis I B,252,3.47
25,ACCY,502,Accounting Analysis II,117,3.61
26,ACCY,504,Auditing B,305,3.42
27,ACCY,505,Federal Taxation A,419,3.54
28,ACCY,506,Advanced Financial Reporting,37,3.34
29,ACCY,510,Financial Reporting Standards,183,3.7
30,ACCY,512,Data Analytics for Mgmt Acctg,118,3.79
31,ACCY,515,Auditing & Assurance Standards,70,3.44
32,ACCY,517,Financial Statement Analysis,78,3.6
33,ACCY,518,Financial Statement Fraud,42,3.97
34,ACCY,551,Corporate Income Taxation,45,3.42
35,ACCY,556,Tax Research,54,3.44
36,ACCY,569,Data Driven Decisions in Acctg,39,3.46
37,ACCY,570,Data Analytics Foundations,174,3.93
38,ACE,100,Agr Cons and Resource Econ,135,3.05
39,ACE,161,Microcomputer Applications,278,3.51
40,ACE,199,Digital Mktg and Social Media,80,3.25
41,ACE,210,Environmental Economics,156,3.34
42,ACE,222,Agricultural Marketing,154,2.84
43,ACE,240,Personal Financial Planning,368,3.51
44,ACE,251,The World Food Economy,191,3.33
45,ACE,261,Applied Statistical Methods,80,3.49
46,ACE,306,Food Law,41,3.17
47,ACE,341,Issues in AgAccy and FinAg,162,3.63
48,ACE,345,Finan Decision Indiv Sm Bus,121,3.44
49,ACE,346,Tax Policy and Finan Planning,71,3.35
50,ACE,360,Spreadsheet Models & Applic,22,3.65
51,ACE,398,Risk Mngmt in Personal Fin Pla,146,3.65
52,ACE,406,Environmental Law,37,3.23
53,ACE,411,Environment and Development,55,3.64
54,ACE,427,Commodity Price Analysis,98,3.7
55,ACE,428,Commodity Futures and Options,31,3.21
56,ACE,432,Farm Management,23,2.77
57,ACE,435,Global Agribusiness Management,86,3.25
58,ACE,444,Finan Serv & Invest Plan,82,3.51
59,ACE,445,Intermediate Personal Fin Plan,63,3.61
60,ACE,455,Intl Trade in Food and Agr,83,3.35
61,ACE,562,Applied Regression Models I,26,3.64
