,Department,CourseNumber,CourseName,StudentCount,AvgGPA
0,AAS,100,Intro Asian American Studies,185,3.18
1,AAS,215,US Citizenship Comparatively,29,3.78
2,ABE,225,ABE Principles: Bioenvironment,44,2.89
3,ABE,226,ABE Principles: Bioprocessing,47,3.35
4,ABE,425,Engrg Measurement Systems,42,3.67
5,ABE,469,Industry-Linked Design Project,33,3.55
6,ABE,498,Special Topics,21,3.84
7,ACCY,200,Fundamentals of Accounting,239,3.32
8,ACCY,201,Accounting and Accountancy I,343,3.03
9,ACCY,202,Accounting and Accountancy II,478,3.24
10,ACCY,301,Atg Measurement & Disclosure,154,3.27
11,ACCY,302,Decision Making for Atg,145,3.37
12,ACCY,303,Atg Institutions and Reg,160,3.32
13,ACCY,304,Accounting Control Systems,173,3.27
14,ACCY,312,Principles of Taxation,178,3.3
15,ACCY,398,Practical Problems in Atg,218,3.91
16,ACCY,405,Assurance and Attestation,59,3.42
17,ACCY,410,Advanced Financial Reporting,141,3.27
18,ACCY,415,Auditing Stds and Practice,115,3.27
19,ACCY,451,Advanced Income Tax Problems,97,3.38
20,ACCY,501,Accounting Analysis I B,138,3.65
21,ACCY,502,Accounting Analysis II B,242,3.57
22,ACCY,503,Managerial Accounting,934,3.56
23,ACCY,506,Advanced Topics in Accounting,106,3.68
24,ACCY,507,Taxation of Bus Entities B,96,3.65
25,ACCY,510,Financial Reporting Standards,63,3.68
26,ACCY,512,Data Analytics for Mgmt Acctg,102,3.71
27,ACCY,515,Auditing & Assurance Standards,68,3.4
28,ACCY,517,Financial Statement Analysis,155,3.64
29,ACCY,552,Partnership Income Taxation,48,3.32
30,ACCY,575,Data Analytics Apps in ACCY,203,3.85
31,ACE,100,Agr Cons and Resource Econ,74,2.49
32,ACE,161,Microcomputer Applications,281,3.45
33,ACE,199,Digital Mktg and Social Media,53,3.91
34,ACE,210,Environmental Economics,113,3.18
35,ACE,231,Food and Agribusiness Mgt,176,3.51
36,ACE,232,Farm Management,50,3.29
37,ACE,240,Personal Financial Planning,268,3.56
38,ACE,251,The World Food Economy,87,3.27
39,ACE,254,Economic Systems in Africa,28,3.74
40,ACE,255,Econ of Food & Enviro Justice,56,3.77
41,ACE,261,Applied Statistical Methods,62,3.26
42,ACE,270,Consumer Economics,71,3.02
43,ACE,310,Natural Resource Economics,70,3.3
44,ACE,341,Contemporary Issues in Policy,23,3.23
45,ACE,360,Spreadsheet Models & Applic,100,3.43
46,ACE,398,Intermediate App Micro Theory,59,3.4
47,ACE,403,Agricultural Law,24,3.54
48,ACE,427,Commodity Price Analysis,27,2.95
49,ACE,428,Commodity Futures and Options,37,3.63
50,ACE,430,Food Marketing,34,3.0
51,ACE,431,Agri-food Strategic Management,45,3.62
52,ACE,435,Global Agribusiness Management,54,3.38
53,ACE,440,Finan Plan for Professionals,31,3.63
54,ACE,444,Finan Serv & Invest Plan,35,2.64
55,ACE,446,Modeling App's Finan Plan,42,3.0
56,ACE,449,Retirement & Benefit Planning,50,3.55
57,ACE,451,Agriculture in Intl Dev,28,3.31
58,ACE,474,Econ of Consumption,44,2.94
59,ACE,476,Behavioral Economics,41,3.46
60,ACES,199,Leading Organizations & Commun,123,3.36
61,ADV,150,Introduction to Advertising,296,3.64
62,ADV,281,Advertising Research Methods,109,2.9
63,ADV,283,Advertising and Brand Strategy,91,3.66
64,ADV,305,Digital ADV Content,78,3.71
65,ADV,310,Intro to Public Relations,122,3.16
66,ADV,311,Classic Campaigns,38,3.28
67,ADV,312,Advertising History,40,2.82
68,ADV,390,Content Creation,91,3.13
69,ADV,410,Public Relations Strategies,83,3.42
70,ADV,460,Innovation in Advertising,101,3.29
71,ADV,476,Global Advertising,24,3.65
72,ADV,483,Audience Analysis,125,3.26
73,ADV,492,Tech and Advertising Campaigns,21,3.81
74,ADV,498,The Sandage Project,89,3.79
75,AE,199,Computer-Aided Design,70,3.51
76,AE,202,Aerospace Flight Mechanics,84,3.29
77,AE,311,Incompressible Flow,38,3.15
78,AE,312,Compressible Flow,76,2.73
79,AE,321,Mechs of Aerospace Structures,55,2.47
80,AE,323,Applied Aerospace Structures,61,2.73
81,AE,353,Aerospace Control Systems,50,2.91
82,AE,370,Aerospace Numerical Methods,97,2.76
83,AE,403,Spacecraft Attitude Control,33,3.25
84,AE,410,Computational Aerodynamics,21,2.96
85,AE,419,Aircraft Flight Mechanics,50,2.97
86,AE,434,Rocket Propulsion,22,3.06
87,AE,435,Electric Propulsion,22,3.02
88,AE,443,Aerospace Systems Design II,129,3.58
89,AE,461,Structures & Control Lab,120,3.8
90,AFRO,100,Intro to African American St,87,3.56
91,AFRO,103,Black Women in the Diaspora,25,2.81
92,AFRO,132,African American Music,29,3.24
93,AFRO,224,Race and Food Security,26,3.6
94,AFRO,261,Intro to the African Diaspora,30,3.12
95,AFRO,383,Hist of Blk Women's Activism,29,3.29
96,AGCM,220,Communicating Agriculture,24,3.4
97,AGCM,230,Ag & Env Photography,21,3.65
98,AGCM,315,Emerging Media,30,3.77
99,AGED,260,Intro to Leadership Studies,126,3.3
100,AGED,380,Leadership in Groups and Teams,58,3.51
101,AGED,480,Collaborative Leadership,31,3.88
102,AIS,101,Intro to Amer Indian Studies,25,3.57
103,AIS,265,Intro to American Indian Lit,24,3.39
104,AIS,285,Indigenous Thinkers,26,3.56
105,ANSC,100,Intro to Animal Sciences,33,3.36
106,ANSC,101,Contemporary Animal Issues,194,3.66
107,ANSC,103,Working With Farm Animals,58,3.97
108,ANSC,110,Life With Animals and Biotech,47,3.69
109,ANSC,205,World Animal Resources,70,3.81
110,ANSC,207,Companion Animal Biology &Care,230,3.37
111,ANSC,223,Animal Nutrition,136,2.93
112,ANSC,224,Animal Reproduction and Growth,133,2.71
113,ANSC,250,Companion Animals in Society,418,3.49
114,ANSC,298,Undergraduate Seminar,55,3.92
115,ANSC,305,Human Animal Interactions,36,3.51
116,ANSC,363,Behavior of Domestic Animals,38,3.71
117,ANSC,402,Sheep Production,27,3.74
118,ANSC,404,Poultry Science,21,3.86
119,ANSC,406,Zoo Animal Conservation Sci,147,3.2
120,ANSC,407,Animal Shelter Management,32,3.19
121,ANSC,409,Meat Science,27,3.94
122,ANSC,438,Lactation Biology,32,3.94
123,ANSC,444,Applied Animal Genetics,23,3.84
124,ANSC,450,Comparative Immunobiology,42,3.07
125,ANSC,498,Integrating Animal Sciences,63,3.69
126,ANSC,499,Southern African Wildlife II,31,3.68
127,ANSC,520,Protein and Energy Nutrition,27,3.52
128,ANTH,101,Introduction to Anthropology,108,2.69
129,ANTH,103,Anthro in a Changing World,575,3.45
130,ANTH,106,Hist Arch Americas,78,3.35
131,ANTH,175,Archaeology and Pop Culture,35,2.93
132,ANTH,246,Forensic Science,540,3.68
133,ANTH,379,Medical Anthropology,24,3.03
134,ANTH,462,Museum Theory and Practice,34,3.54
135,ARAB,150,Lang&Culture of Arab World,21,3.51
136,ARCH,172,Drawing and Modeling,134,3.48
137,ARCH,232,Structural Fundamentals,97,3.13
138,ARCH,274,Representation,95,2.86
139,ARCH,341,Environment Tech HVAC,37,2.64
140,ARCH,342,Environment Tech Ltg & Acoust,62,3.15
141,ARCH,352,Mech of Mat & Design Appl,85,3.18
142,ARCH,409,Special Topics in Spanish Arch,35,3.37
143,ARCH,415,Nineteenth-Century Arch,25,3.05
144,ARCH,416,Modern American Architecture,42,3.47
145,ARCH,452,Theory of Reinforced Concrete,93,3.38
146,ARCH,468,Overseas Architectural Studies,36,3.4
147,ARCH,475,Arch Design & Development,29,2.71
148,ARCH,501,Architectural Practice,82,3.63
149,ARCH,517,Arch History 1850-Present,73,3.52
150,ARCH,593,Design & Construction Futures,40,3.5
151,ART,100,Understanding Visual Culture,34,3.19
152,ART,102,Drawing for Non-Majors,21,3.79
153,ART,310,Design Thinking,25,3.85
154,ARTD,326,Sustainability & Manufacturing,45,3.63
155,ARTD,333,Type & Image,21,3.81
156,ARTD,448,Professional Design Practice,36,3.33
157,ARTD,471,Graphic Design Capstone,30,3.87
158,ARTE,101,"Art, Design, and Society",165,3.39
159,ARTH,241,"Modern Art, 1880-1940",38,3.51
160,ARTH,257,History of Photography,74,3.15
161,ARTH,313,Modern and Contemp African Art,23,3.42
162,ARTH,344,Spanish Modern Art,28,3.02
163,ASRM,210,Theory of Interest,76,2.98
164,ASRM,406,Lin Algebra & Financial Apps,66,3.36
165,ASRM,409,Stoch Proc for Fin & Insurance,40,3.52
166,ASRM,410,Investments and Fin Markets,69,3.24
167,ASRM,461,Loss Models,65,3.39
168,ASRM,472,Life Contingencies II,68,2.99
169,ASRM,552,Predictive Analytics,26,3.46
170,ASTR,100,Introduction to Astronomy,492,3.14
171,ASTR,121,Solar System and Worlds Beyond,141,3.0
172,ASTR,122,Stars and Galaxies,168,2.99
173,ASTR,150,Killer Skies: Astro-Disasters,93,3.39
174,ASTR,210,Introduction to Astrophysics,76,3.04
175,ASTR,310,Computing in Astronomy,30,3.42
176,ASTR,330,Extraterrestrial Life,24,3.88
177,ASTR,405,Planetary Systems,42,3.15
178,ASTR,414,Astronomical Techniques,26,3.21
179,ATMS,100,Introduction to Meteorology,122,3.13
180,ATMS,120,Severe and Hazardous Weather,593,3.26
181,ATMS,140,Climate and Global Change,56,2.83
182,ATMS,304,Radiative Transfer-Remote Sens,25,2.77
183,ATMS,305,Computing and Data Analysis,23,3.23
184,ATMS,307,Climate Processes,29,2.91
185,ATMS,314,Mesoscale Dynamics,26,3.05
186,ATMS,420,Atmospheric Chemistry,23,3.65
187,BADM,211,Business Analytics II,67,3.89
188,BADM,300,The Legal Environment of Bus,371,3.38
189,BADM,310,Mgmt and Organizational Beh,458,3.51
190,BADM,311,Leading Individuals and Teams,41,3.64
191,BADM,312,Designing and Managing Orgs,39,3.76
192,BADM,313,Strategic Human Res Management,42,3.56
193,BADM,314,Leading Negotiations,56,3.67
194,BADM,320,Principles of Marketing,614,3.85
195,BADM,322,Marketing Research,93,3.88
196,BADM,323,Marketing Communications,57,3.56
197,BADM,324,Purchasing and Supply Mgmnt,61,3.93
198,BADM,325,Consumer Behavior,88,3.66
199,BADM,326,Pricing Policies,43,3.35
200,BADM,327,Marketing to Business and Govt,35,3.78
201,BADM,329,New Product Development,35,3.76
202,BADM,337,Practicum in Supply Chain Mgt,53,3.63
203,BADM,340,Ethical Dilemmas of Business,56,3.78
204,BADM,350,IT for Networked Organizations,257,3.34
205,BADM,353,Info Sys Analysis and Design,86,3.77
206,BADM,356,Data Science and Analytics,52,3.79
207,BADM,359,Bus Prob Form and Soln,41,3.9
208,BADM,374,Management Decision Models,100,3.74
209,BADM,375,Operations Management,142,3.54
210,BADM,378,Logistics Management,31,3.27
211,BADM,379,Business Process Improvement,46,3.59
212,BADM,380,International Business,112,3.38
213,BADM,381,Multinational Management,51,3.86
214,BADM,382,International Marketing,25,3.93
215,BADM,403,Corporate & Commercial Law,91,3.65
216,BADM,445,Small Business Consulting,30,3.97
217,BADM,446,Entrep: New Venture Creation,33,3.85
218,BADM,449,Business Policy and Strategy,421,3.71
219,BADM,508,Leadership and Teams,933,3.59
220,BADM,509,Managing Organizations,918,3.61
221,BADM,520,Marketing Management,23,3.94
222,BADM,521,Marketing Strategy,59,3.61
223,BADM,524,Pricing Strategy and Tactics,39,3.67
224,BADM,543,Technology Strategy,52,3.58
225,BADM,544,Strategic Management,30,3.52
226,BADM,550,Technology Practicum,29,3.79
227,BADM,555,Info Sys Development and Mgt,23,3.64
228,BADM,562,Social Media Strategy,27,3.73
229,BADM,564,Business Process Improvement,29,3.62
230,BADM,572,Stat for Mgt Decision Making,955,3.52
231,BADM,574,Simulation and Risk Analysis,59,3.87
232,BADM,583,Global Innov & Entrep,36,3.43
233,BADM,584,Global Marketing,36,3.61
234,BADM,589,Project Management,118,3.82
235,BADM,590,Strategic Sourcing,1979,3.79
236,BCS,115,South Slavic Cultures,48,3.42
237,BIOC,446,Physical Biochemistry,68,3.42
